ID,title,IDSala
5003000,Vitrina 3A,5000001
5003500,Vitrina 3B,5000001
5003600,Vitrina 3C,5000001
5004000,Vitrina 4A,5000001
5004500,Vitrina 4B,5000001
5006000,Vitrina 6A,5000002
5006500,Vitrina 6B,5000002
5007000,Vitrina 7,5000002
5008000,Vitrina 8,5000002
5009000,Vitrina 9A,5000002
5009500,Vitrina 9B,5000002
5010000,Vitrina 10A,5000002
5010500,Vitrina 10B,5000002
5011000,Vitrina 11A,5000002
5011500,Vitrina 11B,5000002
5012000,Vitrina 12A,5000003
5012500,Vitrina 12B,5000003
5013000,Vitrina 13A,5000003
5013500,Vitrina 13B,5000003
5013600,Vitrina 13C,5000003
5013700,Vitrina 13D,5000003
5014000,Vitrina 14,5000003
5015000,Vitrina 15,5000003
5016000,Vitrina 16,5000003
5017000,Vitrina 17A,5000003
5017500,Vitrina 17B,5000003
5018000,Vitrina 18,5000003
5019000,Vitrina 19,5000003